Quelle;Projektname;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;Projekt-Abkürzung;Art
https://citylab-berlin.org/de/projects/hilf-mir-berlin/;Hilf-Mir.Berlin;Gesundheit, psychosoziale Beratung, Berlin;https://citylab-berlin.org/de/projects/hilf-mir-berlin/;CityLAB Berlin;In Planung;Hilf-Mir.Berlin fasst das Angebot von über 200 Beratungsstellen erstmals übersichtlich zusammen. ;CC-BY 4.0;https://citylab-berlin.org;Hilf-Mir.Berlin;Interaktive Karte, Beratung, psychosoziale Beratung, Gesundheit
https://citylab-berlin.org/de/projects/talking-treebot/;Talking Treebot;Bildung, Nachhaltigkeit, Umweltschutz;https://citylab-berlin.org/de/projects/talking-treebot/;CityLAB Berlin;In Planung;Der Talking Treebot gibt den Berliner Stadtbäumen mit Hilfe von Künstlicher Intelligenz eine Stimme.;CC-BY 4.0;https://citylab-berlin.org;Talking Treebot;Interaktive App, KI Anwendung, Umweltsensor
https://citylab-berlin.org/de/projects/buergeramt-der-zukunft-tagebuchstudie/;Bürgeramt der Zukunft;Berlin, Antidiskriminierung, Antirassismus, Arbeit mit Kindern, Armut, Barrierefreiheit, Beratung, Chancengleichheit, Demokratie, Demenz, Datenschutz, Energie, Ethik, Evaluation, Frauen, Fundraising, Geflüchtete, Genderneutrale Sprache, Gleichberechtigung, Gleichstellung, Gesundheit, Humanitäre Hilfe, Indien, Inklusion, Integration, International, Jugendarbeit, Jugendbeteiligung, Jugendhilfe, Kamerun, Katastrophenschutz, Kältehilfe, Kinderschutz, Kinder- und Jugendhilfe, KI, Kongo, Kroatien, Landwirtschaft, Meeresschutz, Mentale Gesundheit, Mentoring, Menschen mit Behinderung, Menschenrechte, Migration, Migrationsberatung, Nachhaltigkeit, Offene Daten, Partizipation, Patenschaft, Pflege, Pflegende Angehörige, Queere Sichtbarkeit, Rettungsdienst, Senioren, Soziale Arbeit, Sport, Stadt, Stadtplanung, Teilhabe, Telemedizin, Transparenz, Türkei, Umwelt, Umweltschutz, Vernetzung, Verwaltung, Wirkungsmessung, Wohlfahrt, Wohnen, Wohnungslosenhilfe, Wissensmanagement.;https://citylab-berlin.org/de/projects/buergeramt-der-zukunft-tagebuchstudie/;CityLAB Berlin;In Planung;Das Ziel des Projekts Bürgeramt der Zukunft ist es, ein tieferes Verständnis für die Arbeit und die Abläufe in der Verwaltung zu erhalten und diese hinsichtlich ihrer Nutzer:innenorientierung zu verbessern.;CC-BY 4.0;https://citylab-berlin.org;;Analyse von Sensordaten und ML, Automatisierte Datenübermittlung, Bericht, Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Datenstandards, Datensatz und Visualisierung, Digitale Plattform, Dokumentations- und Netzwerktool, Entscheidungsassistent, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Interne Datenanwendung, KI Anwendung, Karte, Knowledge Graph, Large Language Model (LLM), Matching, Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Sprach-Editor, Umfrage, Übersetzungsassistent, Vernetzungsassistent, Verzeichnis / Karte, Visualisierung mit Karten, Zugänglichkeit Offene Daten des Statistischen Bundesamts.
https://citylab-berlin.org/de/projects/citylab-roadshow/;CityLAB Roadshow;Berlin, Verwaltung, Öffentliche Verwaltung, Bezirksverwaltungen, Senatsverwaltungen;https://citylab-berlin.org/de/projects/citylab-roadshow/;CityLAB Berlin;In Planung;Das CityLAB Berlin kommt zum Hausbesuch.;CC-BY 4.0;https://citylab-berlin.org;;Verwaltungsinnovation, Digitalisierung, Service Design, Innovationsprojekte, Begleitung von Innovationsprojekten, Service Design für die Verwaltung, Nutzer:innenzentrierung, Methodenvermittlung, Wissensvermittlung, Teach the Trainer
https://citylab-berlin.org/de/projects/berliner-energiecheckpoint/;Berliner EnergieCheckpoint;Energiewende, Klimaschutz, Öffentliche Gebäude, Energieverbrauch, Energieeinsparung;https://citylab-berlin.org/de/projects/berliner-energiecheckpoint/;CityLAB Berlin;In Planung;Der EnergieCheckpoint zeigt Daten zum Energieverbrauch öffentlicher Gebäude.;CC-BY 4.0;https://citylab-berlin.org;Berliner EnergieCheckpoint;Interaktive Karte, Datenanalyse, Energieverbrauch, Energieeinsparung
https://citylab-berlin.org/de/projects/smart_city/;Gemeinsam Digital: Berlin;Smart City, Stadtentwicklung, Nachhaltigkeit, Gemeinwohlorientierung, Resilienz, Kooperation;https://citylab-berlin.org/de/projects/smart_city/;CityLAB Berlin;In Planung;Wir unterstützen die Maßnahmen der Smart City Strategie “Gemeinsam Digital: Berlin”.;CC-BY 4.0;https://citylab-berlin.org;GD:B;Smart City, Partizipation, Community Building, Workshop, Methodenbereitstellung, Leitfäden, Wissensmanagement, Evaluation
https://citylab-berlin.org/de/projects/ki-zum-anfassen-unsere-interaktiven-exponate/;KI zum Anfassen;Beratung, Chancengleichheit, Demokratie, Evaluation, Frauen, Geflüchtete, Gleichberechtigung, Gleichstellung, Gesundheit, Humanitäre Hilfe, Inklusion, Integration, International, Jugendarbeit, Jugendbeteiligung, Jugendhilfe, KI, Partizipation, Patenschaft, Pflege, Queere Sichtbarkeit, Soziale Arbeit, Stadt, Stadtplanung, Teilhabe, Telemedizin, Transparenz, Vernetzung, Verwaltung, Wirkungsmessung, Wohlfahrt, Wohnen, Wohnungslosenhilfe;https://citylab-berlin.org/de/projects/ki-zum-anfassen-unsere-interaktiven-exponate/;CityLAB Berlin;In Planung;Hier stellen wir euch vier unserer aktuellen KI-Experimente vor, die in unserem Prototyping-Team entstanden sind.;CC-BY 4.0;https://citylab-berlin.org;;Interaktive App, Interaktive Karte, Interaktiver Fragebogen, KI Anwendung, Large Language Model (LLM), Matching, Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Sprach-Editor, Umfrage, Übersetzungsassistent, Vernetzungsassistent, Verzeichnis / Karte, Visualisierung mit Karten, Zugänglichkeit Offene Daten des Statistischen Bundesamts.
https://citylab-berlin.org/de/projects/labcamp/;LabCamp;öffentlicher Sektor, Zivilgesellschaft, Wissenschaft, Wirtschaft, Deutschland, Österreich, Schweiz;https://citylab-berlin.org/de/projects/labcamp/;CityLAB Berlin;In Planung;Das LabCamp ist ein Vernetzungstreffen öffentlicher Innovationslabore.;CC-BY 4.0;https://citylab-berlin.org;;Vernetzungstreffen öffentlicher Innovationslabore, Community of practice, Digitale Veranstaltungen, Interaktive Vernetzungsmöglichkeiten
https://citylab-berlin.org/de/projects/summerschool/;Summer School;Afrika, Antidiskriminierung, Antirassismus, Arbeit mit Kindern, Armut, Barrierefreiheit, Beratung, Chancengleichheit, Demokratie, Demenz, Datenschutz, Energie, Ethik, Evaluation, Frauen, Fundraising, Geflüchtete, Genderneutrale Sprache, Gleichberechtigung, Gleichstellung, Gesundheit, Humanitäre Hilfe, Indien, Inklusion, Integration, International, Jugendarbeit, Jugendbeteiligung, Jugendhilfe, Kamerun, Katastrophenschutz, Kältehilfe, Kinderschutz, Kinder- und Jugendhilfe, KI, Kongo, Kroatien, Landwirtschaft, Meeresschutz, Mentale Gesundheit, Mentoring, Menschen mit Behinderung, Menschenrechte, Migration, Migrationsberatung, Nachhaltigkeit, Offene Daten, Partizipation, Patenschaft, Pflege, Pflegende Angehörige, Queere Sichtbarkeit, Rettungsdienst, Senioren, Soziale Arbeit, Sport, Stadt, Stadtplanung, Teilhabe, Telemedizin, Transparenz, Türkei, Umwelt, Umweltschutz, Vernetzung, Verwaltung, Wirkungsmessung, Wohlfahrt, Wohnen, Wohnungslosenhilfe, Wissensmanagement.;https://citylab-berlin.org/de/projects/summerschool/;CityLAB Berlin;In Planung;Summer School zu jährlich wechselnden Themen.;CC-BY 4.0;https://citylab-berlin.org;;Analyse von Sensordaten und ML, Automatisierte Datenübermittlung, Bericht, Crowd-Sourced Daten, Dashboard, Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Datenstandards, Datensatz und Visualisierung, Digitale Plattform, Dokumentations- und Netzwerktool, Entscheidungsassistent, Festival und Studie, Generative KI, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Interne Datenanwendung, KI Anwendung, Karte, Knowledge Graph, Large Language Model (LLM), Matching, Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Sprach-Editor, Umfrage, Übersetzungsassistent, Vernetzungsassistent, Verzeichnis / Karte, Visualisierung mit Karten, Zugänglichkeit Offene Daten des Statistischen Bundesamts.
https://citylab-berlin.org/de/projects/berliner-weihnachtsmarkt-finder/;Berliner Weihnachtsmarkt-Finder;Tourismus, Freizeit, Weihnachtsmärkte;https://citylab-berlin.org/de/projects/berliner-weihnachtsmarkt-finder/;CityLAB Berlin;In Planung;Glühwein, Glögg, Glückseligkeit – Berliner Weihnachtsmärkte auf einen Blick!;CC-BY 4.0;https://citylab-berlin.org;;Interaktive Karte, Datenanalyse, Datenerhebung, Open Data
https://citylab-berlin.org/de/projects/digitalwerkstatt/;Digitalwerkstatt Verwaltung;Verwaltung, Partizipation, Inklusion, Digitale Gesellschaft, Bürgerbeteiligung;https://citylab-berlin.org/de/projects/digitalwerkstatt/;CityLAB Berlin;In Planung;In der Digitalwerkstatt werden gemeinsam mit Bürger:innen Verwaltungsformulare verbessert.;CC-BY 4.0;https://citylab-berlin.org;;Datenanwendung für Öffentlichkeit, Digitale Plattform, Interaktive App, Prozessautomatisierung, Reporting, Umfrage, Vernetzungsassistent
https://citylab-berlin.org/de/projects/werkstatt-im-citylab/;Werkstatt im CityLAB;Bildung, Empowerment, Partizipation, Inklusion;https://citylab-berlin.org/de/projects/werkstatt-im-citylab/;CityLAB Berlin;In Planung;Die Werkstatt ist Raum für Experiment und Methoden der Elektrotechnik und Informatik.;CC-BY 4.0;https://citylab-berlin.org;;Experimente mit Methoden aus der Elektrotechnik und Informatik, Coding, Hardware
https://citylab-berlin.org/de/projects/hacking-box-goes-citylab/;Hacking Box goes CityLAB Berlin;Schulprojekte, Workshops, Seminare, Hackathons;https://citylab-berlin.org/de/projects/hacking-box-goes-citylab/;CityLAB Berlin;In Planung;Hardwareboxen für Schulprojekte, Workshops, Seminare, Hackathons & Co.;CC-BY 4.0;https://citylab-berlin.org;;Hardwareboxen für Schulprojekte, Workshops, Seminare, Hackathons & Co.
https://citylab-berlin.org/de/projects/digitalvereint/;Digital Vereint – mit digitalen Tools das Berliner Ehrenamt stärken;Ehrenamt, Zivilgesellschaft, Digitalisierung, Engagement, Berlin, Non-Profit;https://citylab-berlin.org/de/projects/digitalvereint/;CityLAB Berlin;In Betrieb;Digital Vereint ist eine Plattform zur Unterstützung von digitalem zivilgesellschaftlichem Engagement.;CC-BY 4.0;https://citylab-berlin.org;Digital Vereint;Plattform, Digitale Plattform, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Verzeichnis / Karte, Wissensmanagement, Offene Daten
https://citylab-berlin.org/de/projects/qtrees/;Quantified Trees (Qtrees): Intelligente Bewässerungsvorhersage für Stadtbäume;Umweltschutz, Stadtplanung, Klimawandel;https://citylab-berlin.org/de/projects/qtrees/;CityLAB Berlin;In Betrieb;Im Forschungsprojekt QTrees werden von Trockenheit gefährdete Stadtbäume mittels KI identifiziert.;CC-BY 4.0;https://citylab-berlin.org;Qtrees;Analyse von Sensordaten und ML, KI Anwendung, Predictive Analytics
https://citylab-berlin.org/de/projects/afs-dashboard/;Verwaltungsdashboard;Verwaltung, Statistik, Bürgerdienste;https://citylab-berlin.org/de/projects/afs-dashboard/;CityLAB Berlin;In Betrieb;Im Rahmen von Design Sprints unterstützten wir bei der Konzeption eines Verwaltungsdashboards.;CC-BY 4.0;https://citylab-berlin.org;AFS;Dashboard, Datenanalyse, Verwaltungssteuerung
https://citylab-berlin.org/de/projects/stadtpuls/;Stadtpuls – Deine Sensoren erklären Berlin;Zivilgesellschaft, Citizen Science, Datenjournalismus, Bildung, Umwelt;https://citylab-berlin.org/de/projects/stadtpuls/;CityLAB Berlin;In Betrieb;Stadtpuls ist eine offene IoT-Datenplattform für Sensordaten.;CC-BY 4.0;https://citylab-berlin.org;Stadtpuls;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, IoT-Datenplattform, Sensordaten, Visualisierung
https://citylab-berlin.org/de/projects/pixelwelt/;Pixelwelt;Veranstaltungen, Ausstellung, Community Meetup, Führungen, virtuelle Besuche;https://citylab-berlin.org/de/projects/pixelwelt/;CityLAB Berlin;In Betrieb;Die Pixelwelt ist ein digitales 2D-Modell des CityLAB für virtuelle Veranstaltungen.;CC-BY 4.0;https://citylab-berlin.org;Pixelwelt;Interaktive App, Virtuelle Veranstaltungen, 2D-Modell, Digitale Plattform
https://citylab-berlin.org/de/projects/prototypenwerkstatt/;Prototypenwerkstatt – Am Beispiel der Seniorendatenbank;Senioren, Soziale Arbeit, Stadtplanung, Teilhabe, Verwaltung;https://citylab-berlin.org/de/projects/prototypenwerkstatt/;CityLAB Berlin;In Betrieb;Prototypisch digitale Projekte zur Ablösung von IT-Kleinstverfahren.;CC-BY 4.0;https://citylab-berlin.org;;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Digitale Plattform, Dokumentations- und Netzwerktool
https://citylab-berlin.org/de/projects/prozessanalyse-radinfrastruktur-pari/;Prozessanalyse Radinfrastruktur (PARI);Verkehr, Radinfrastruktur, Verwaltung;https://citylab-berlin.org/de/projects/prozessanalyse-radinfrastruktur-pari/;CityLAB Berlin;In Betrieb;Analyse von Prozessen und Verfahren der Berliner Radinfrastruktur.;CC-BY 4.0;https://citylab-berlin.org;PARI;Analyse von Prozessen und Verfahren
https://citylab-berlin.org/de/projects/digitale-tools-fuer-radwegeplanung/;FixMyBerlin – Digitale Tools für Radwegeplanung;Verkehr, Mobilität, Radverkehr, Bürgerbeteiligung;https://citylab-berlin.org/de/projects/digitale-tools-fuer-radwegeplanung/;CityLAB Berlin;In Betrieb;Das Projekt begleitet die Berliner Verwaltung bei der Umsetzung des Mobilitätsgesetzes.;CC-BY 4.0;https://citylab-berlin.org;FixMyBerlin;Digitale Tools für Radwegeplanung, Radverkehrsplanung, Partizipation
https://citylab-berlin.org/de/projects/schatten/;Berliner Erfrischungskarte;Umwelt, Klimawandel, Stadtplanung;https://citylab-berlin.org/de/projects/schatten/;CityLAB Berlin;In Betrieb;Open Data-basierte Kartenvisualisierung.;CC-BY 4.0;https://citylab-berlin.org;;Datenvisualisierung, Offene Daten, Interaktive Karte
https://citylab-berlin.org/de/projects/clair/;Clair Berlin;Öffentliche Räume, Schulen, Theater, Bibliotheken, Gesundheitswesen;https://citylab-berlin.org/de/projects/clair/;CityLAB Berlin;In Betrieb;Initiative zur Messung von Luftqualität in öffentlichen Räumen.;CC-BY 4.0;https://citylab-berlin.org;Clair Berlin;Luftqualitätsmessung, Open Source, IoT, Datenplattform, Sensorik
https://citylab-berlin.org/de/projects/aiforberlin/;AI for Berlin;Urbaner Raum, Nachhaltigkeit, Innovation;https://citylab-berlin.org/de/projects/aiforberlin/;CityLAB Berlin;In Betrieb;Workshopreihe zum Nutzen von KI im Kontext urbaner Räume.;CC-BY 4.0;https://citylab-berlin.org;AI for Berlin;KI-Anwendung, Workshopreihe
https://citylab-berlin.org/de/projects/bikesharing/;Shared Mobility Flows;Berlin, Mobilitäts-Sharing-Anbieter, Stadtplanung, Verkehrsplanung;https://citylab-berlin.org/de/projects/bikesharing/;CityLAB Berlin;In Betrieb;Das Projekt analysiert und visualisiert Leihfahrradrouten.;CC-BY 4.0;https://citylab-berlin.org;;Analyse von Sensordaten und ML, Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Datenstandards, Datensatz und Visualisierung, Digitale Plattform, Entscheidungsassistent, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Interne Datenanwendung, KI Anwendung, Karte, Knowledge Graph, Large Language Model (LLM), Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Visualisierung mit Karten
https://citylab-berlin.org/de/projects/trafficcount/;Open Traffic Count;Verkehr, Stadtplanung, Datenschutz;https://citylab-berlin.org/de/projects/trafficcount/;CityLAB Berlin;In Betrieb;Das Projekt evaluiert Anwendungen zu Verkehrszählungen.;CC-BY 4.0;https://citylab-berlin.org;Open Traffic Count;Verkehrszählung, Evaluierung von Anwendungen, Open Source
https://citylab-berlin.org/de/projects/districtprofiles/;Bezirksregionen digital;Stadtplanung, Teilhabe, Transparenz;https://citylab-berlin.org/de/projects/districtprofiles/;CityLAB Berlin;In Betrieb;Projekt zur Vereinheitlichung und Zugänglichkeit von Bezirksregionenprofile.;CC-BY 4.0;https://citylab-berlin.org;;Interaktive Karte, Datenanalyse, Offene Daten
https://citylab-berlin.org/de/projects/stadtvisionen/;Algorithmische Stadtvisionen;Stadtplanung, Architektur, KI;https://citylab-berlin.org/de/projects/stadtvisionen/;CityLAB Berlin;In Betrieb;Im Projekt wird KI und maschinelles Lernens für Architektur und Stadtplanung genutzt.;CC-BY 4.0;https://citylab-berlin.org;;KI Anwendung, Stadtplanung, Architektur
https://citylab-berlin.org/de/projects/startupmapping/;Berlin Urban Tech-Datenbank;Berlin, Urban Tech, Smart City, Vernetzung von Start-Ups;https://citylab-berlin.org/de/projects/startupmapping/;CityLAB Berlin;In Betrieb;Vernetzung von Start-Ups im Urban Tech-Bereich mit städtischen Akteuren und Investoren.;CC-BY 4.0;https://citylab-berlin.org;;Datenbank, Vernetzung, Urban Tech, Smart City
